,uri,first_artist_name,track_name,track_duration_ms,track_popularity,is_track_explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Today's Top Hits_0,spotify:track:0yLdNVWF3Srea0uzk55zFn,Miley Cyrus,Flowers,200454,100,False,0.707,0.681,0,-4.325,1,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,4
Today's Top Hits_1,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,SZA,Kill Bill,153946,91,False,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,4
Today's Top Hits_2,spotify:track:5Z2MiIZ5I3jJvvmeWMLbOQ,RAYE,Escapism.,272373,89,True,0.538,0.742,2,-5.355,1,0.114,0.138,4.67e-05,0.0934,0.25,96.107,4
Today's Top Hits_3,spotify:track:6AQbmUe0Qwf5PZnt4HmTXv,PinkPantheress,Boy's a liar Pt. 2,131013,82,False,0.696,0.809,5,-8.254,1,0.05,0.252,0.000128,0.248,0.857,132.962,4
Today's Top Hits_4,spotify:track:4sx6NRwL6Ol3V6m9exwGlQ,The Kid LAROI,Love Again,146640,85,False,0.662,0.398,11,-6.691,0,0.0275,0.716,0,0.111,0.468,107.001,4
Today's Top Hits_5,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,Metro Boomin,Creepin' (with The Weeknd & 21 Savage),221520,93,True,0.715,0.62,1,-6.005,0,0.0484,0.417,0,0.0822,0.172,97.95,4
Today's Top Hits_6,spotify:track:4nrPB8O7Y7wsOCJdgXkthe,Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",214945,96,False,0.778,0.632,2,-5.6,0,0.0493,0.274,0,0.0915,0.498,122.104,4
Today's Top Hits_7,spotify:track:0WtM2NBVQNNJLh6scP13H8,Rema,Calm Down (with Selena Gomez),239317,91,False,0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,4
Today's Top Hits_8,spotify:track:4LRPiXqCikLlN15c3yImP7,Harry Styles,As It Was,167303,89,False,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,4
Today's Top Hits_9,spotify:track:3nqQXoyQOWXiESFLlDF1hG,Sam Smith,Unholy (feat. Kim Petras),156943,93,False,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,4
Today's Top Hits_10,spotify:track:5odlY52u43F5BjByhxg7wg,JVKE,golden hour,209259,87,False,0.515,0.593,4,-4.801,1,0.0322,0.653,0.162,0.25,0.153,94.467,3
Today's Top Hits_11,spotify:track:1xzi1Jcr7mEi9K2RfzLOqS,Beyoncé,CUFF IT,225388,88,True,0.78,0.689,7,-5.668,1,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,4
Today's Top Hits_12,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,200690,91,False,0.637,0.643,4,-6.571,1,0.0519,0.13,1.8e-06,0.142,0.533,97.008,4
Today's Top Hits_13,spotify:track:3zkyus0njMCL6phZmNNEeN,Central Cee,LET GO,174246,89,True,0.735,0.449,2,-9.933,0,0.383,0.859,0,0.213,0.514,146.016,4
Today's Top Hits_14,spotify:track:4uUG5RXrOk84mYEfFvj3cK,David Guetta,I'm Good (Blue),175238,93,True,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,4
Today's Top Hits_15,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,SZA,Snooze,201800,87,True,0.559,0.551,5,-7.231,1,0.132,0.141,0,0.11,0.392,143.008,4
Today's Top Hits_16,spotify:track:78Sw5GDo6AlGwTwanjXbGh,d4vd,Here With Me,242484,91,False,0.574,0.469,4,-8.209,1,0.0254,0.534,9.21e-05,0.128,0.288,132.023,4
Today's Top Hits_17,spotify:track:0O6u0VJ46W86TxN9wgyqDj,Post Malone,I Like You (A Happier Song) (with Doja Cat),192840,84,True,0.733,0.67,5,-6.009,1,0.0751,0.121,0,0.121,0.472,100.964,4
Today's Top Hits_18,spotify:track:4FyesJzVpA39hbYvcseO2d,Lil Uzi Vert,Just Wanna Rock,123890,88,True,0.486,0.545,11,-7.924,1,0.0336,0.0652,0.00474,0.0642,0.0385,150.187,4
Today's Top Hits_19,spotify:track:59uQI0PADDKeE6UZDTJEe8,Morgan Wallen,Last Night,163854,82,True,0.517,0.675,6,-5.382,1,0.0357,0.459,0,0.151,0.518,203.853,4
Today's Top Hits_20,spotify:track:0QHEIqNKsMoOY5urbzN48u,Meghan Trainor,Made You Look,134256,89,False,0.838,0.525,10,-3.562,1,0.0665,0.345,1.92e-06,0.0771,0.884,144.981,4
Today's Top Hits_21,spotify:track:3i0FkJYlU4MFfYkjFHXXAM,Sam Smith,I'm Not Here To Make Friends,229604,82,False,0.698,0.895,0,-4.439,1,0.0628,0.172,1.45e-05,0.409,0.838,114.914,4
Today's Top Hits_22,spotify:track:65FftemJ1DbbZ45DUfHJXE,NewJeans,OMG,212253,89,False,0.804,0.771,9,-4.067,0,0.0433,0.357,3.07e-06,0.108,0.739,126.956,4
Today's Top Hits_23,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,148485,90,False,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,4
Today's Top Hits_24,spotify:track:6BePGk3eCan4FqaW2X8Qy3,Tiësto,10:35,172252,87,False,0.696,0.793,8,-5.733,1,0.097,0.0683,3.78e-06,0.18,0.698,120.003,4
Today's Top Hits_25,spotify:track:73vIOb4Q7YN6HeJTbscRx5,Oliver Tree,Miss You,206000,89,True,0.587,0.742,6,-6.64,0,0.0529,0.0128,0.00107,0.146,0.199,145.007,4
Today's Top Hits_26,spotify:track:6UN73IYd0hZxLi8wFPMQij,Coi Leray,Players,139560,85,True,0.954,0.516,6,-5.817,1,0.16,0.03,7.54e-06,0.0504,0.624,105.001,4
Today's Top Hits_27,spotify:track:2mnXxnrX5vCGolNkaFvVeM,Arcángel,La Jumpa,255693,85,True,0.887,0.234,9,-14.52,1,0.178,0.111,0.67,0.13,0.197,140.02,4
Today's Top Hits_28,spotify:track:4FAKtPVycI4DxoOHC01YqD,Yandel,Yandel 150,216148,81,True,0.783,0.729,6,-3.549,0,0.0691,0.0492,0.000272,0.1,0.58,167.968,4
Today's Top Hits_29,spotify:track:5jQI2r1RdgtuT8S3iG8zFC,Taylor Swift,Lavender Haze,202395,85,True,0.733,0.436,10,-10.489,1,0.08,0.258,0.000573,0.157,0.0976,96.985,4
Today's Top Hits_30,spotify:track:38T0tPVZHcPZyhtOcCP7pF,Lil Nas X,STAR WALKIN' (League of Legends Worlds Anthem),210575,85,True,0.637,0.715,2,-4.971,0,0.0455,0.148,0,0.0892,0.308,141.872,4
Today's Top Hits_31,spotify:track:1bDbXMyjaUIooNwFE9wn0N,Drake,Rich Flex,239359,90,True,0.561,0.52,11,-9.342,0,0.244,0.0503,1.86e-06,0.355,0.424,153.15,3
Today's Top Hits_32,spotify:track:1Y3LN4zO1Edc2EluIoSPJN,Stephen Sanchez,Until I Found You (with Em Beihold) - Em Beihold Version,176440,89,False,0.551,0.55,10,-5.339,1,0.0286,0.777,0,0.202,0.342,101.19,3
Today's Top Hits_33,spotify:track:1qEmFfgcLObUfQm0j1W2CK,Harry Styles,Late Night Talking,177954,86,False,0.714,0.728,10,-4.595,1,0.0468,0.298,0,0.106,0.901,114.996,4
Today's Top Hits_34,spotify:track:6dgUya35uo964z7GZXM07g,Sabrina Carpenter,Nonsense,163648,86,False,0.74,0.697,8,-4.912,1,0.034,0.0268,0,0.224,0.732,138.992,4
Today's Top Hits_35,spotify:track:5Y35SjAfXjjG0sFQ3KOxmm,SZA,Nobody Gets Me,180853,87,True,0.358,0.284,7,-8.285,1,0.0285,0.805,0,0.183,0.276,99.796,3
Today's Top Hits_36,spotify:track:1PckUlxKqWQs3RlWXVBLw3,Lizzo,About Damn Time,191822,81,True,0.836,0.743,10,-6.305,0,0.0656,0.0995,0,0.335,0.722,108.966,4
Today's Top Hits_37,spotify:track:3WMj8moIAXJhHsyLaqIIHI,Zach Bryan,Something in the Orange,228013,85,False,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,3
Today's Top Hits_38,spotify:track:1Ame8XTX6QHY0l0ahqUhgv,Måneskin,THE LONELIEST,247067,82,False,0.519,0.595,2,-5.001,1,0.0283,0.00151,0,0.0762,0.237,129.786,4
Today's Top Hits_39,spotify:track:1rrqJ9QkOBYJlsZgqqwxgB,Ayra Starr,Rush,185093,78,False,0.792,0.503,1,-8.044,1,0.0626,0.0369,0.00057,0.0959,0.381,99.97,4
Today's Top Hits_40,spotify:track:5CM4UuQ9Gnd6K2YyKGPMoK,Steve Lacy,Bad Habit,232114,84,True,0.686,0.507,1,-7.097,1,0.0357,0.626,7.51e-05,0.383,0.69,168.955,4
Today's Top Hits_41,spotify:track:35ovElsgyAtQwYPYnZJECg,Rihanna,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,196519,83,False,0.247,0.299,9,-6.083,1,0.0315,0.899,0,0.131,0.172,177.115,4
Today's Top Hits_42,spotify:track:26b3oVLrRUaaybJulow9kz,Libianca,People,184791,84,False,0.573,0.422,10,-7.621,0,0.0678,0.551,1.31e-05,0.102,0.693,124.357,5
Today's Top Hits_43,spotify:track:5ww2BF9slyYgNOk37BlC4u,Manuel Turizo,La Bachata,162637,92,False,0.835,0.679,7,-5.329,0,0.0364,0.583,1.98e-06,0.218,0.85,124.98,4
Today's Top Hits_44,spotify:track:2SiAcexM2p1yX6joESbehd,ROSALÍA,LLYLM,174044,83,False,0.555,0.634,6,-5.522,0,0.273,0.129,2.32e-06,0.188,0.555,170.228,4
Today's Top Hits_45,spotify:track:0HqZX76SFLDz2aW8aiqi7G,Imagine Dragons,Bones,165264,84,False,0.773,0.742,5,-3.678,0,0.046,0.0206,0,0.0754,0.571,114.071,4
Today's Top Hits_46,spotify:track:1N8TTK1Uoy7UvQNUazfUt5,ThxSoMch,SPIT IN MY FACE!,147874,85,True,0.73,0.785,8,-6.512,1,0.0554,0.0464,0.0216,0.111,0.649,94.094,4
Today's Top Hits_47,spotify:track:1IHWl5LamUGEuP4ozKQSXZ,Bad Bunny,Tití Me Preguntó,243716,89,False,0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,4
Today's Top Hits_48,spotify:track:0vjeOZ3Ft5jvAi9SBFJm1j,Metro Boomin,Superhero (Heroes & Villains) [with Future & Chris Brown],182666,88,True,0.526,0.606,5,-5.3,0,0.259,0.152,2.36e-06,0.194,0.492,116.622,4
