,uri,first_artist_name,track_name,track_duration_ms,track_popularity,is_track_explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,lyrics
New Music Friday_0,spotify:track:6AQbmUe0Qwf5PZnt4HmTXv,PinkPantheress,Boy's a liar Pt. 2,131013,87,False,0.696,0.809,5,-8.254,1,0.05,0.252,0.000128,0.248,0.857,132.962,4,"TranslationsPortuguêsTürkçeBoy’s a liar Pt. 2 Lyrics[Verse 1: PinkPantheress]
Take a look inside your heart
Is there any room for me (Is there any room for me?)
I won't have to hold my breath
Till you get down on one knee (Till you get down on one knee)
Because you only want to hold me
When I'm looking good enough (When I'm looking good enough)
Did you ever feel me?
Would you ever picture us? (Would you ever picture us?)

[Verse 2: PinkPantheress]
Every time I pull my hair
Well, it's only out of fear (Only out of fear)
That you'll find me ugly
And one day you'll disappear because
What's the point of crying?
It was nеver even lovе (It was never even love)
Did you ever want me?
Was I ever good enough? (Ever good enough?)

[Chorus: PinkPantheress]
The-the boy's a liar, the boy's a liar
He doesn't see ya, you're not looking at me, boy
The boy's a liar, the boy's a liar
He doesn't see ya, you're not looking at me, boy
You might also like[Post-Chorus: PinkPantheress]
Good eno-o-ough, good eno-o-ough
Good eno-o-ough, good eno-o-ough
Good eno-o-ough, good eno-o-ough
Good eno-o-ough, good eno-o-ough

[Verse 3: Ice Spice]
He say that I'm good enough, grabbin' my duh-duh-duh
Thinkin' 'bout shit that I shouldn't have (Huh)
So I tell him there's one of me, he makin' fun of me (Ha-ha)
His girl is a bum to me (Grrah)
Like that boy is a cap
Sayin' he home, but I know where he at, like
Bet he blowin' her back
Thinkin' 'bout me 'cause he know that ass fat (Damn)
And it been what it been (Huh)
Callin' his phone like, ""Yo, send me a pin""
Duckin' my shit, 'cause he know what I'm on (Grrah)
But when he hit me I'm not gon' respond (Grrah)
But I don't sleep enough without you
And I can't eat enough without you (Huh)
If you don't speak, does that mean we're through? (Huh)
Don't like sneaky shit that you do (Grrah)

[Chorus: PinkPantheress]
The-the boy's a liar, the boy's a liar
He doesn't see ya, you're not looking at me, boy
The boy's a liar, the boy's a liar
He doesn't see ya, you're not looking at me, boy
[Post-Chorus: PinkPantheress]
Good eno-o-ough, good eno-o-ough
Good eno-o-ough, good eno-o-ough
Good eno-o-ough, good eno-o-ough
Good eno-o-ough, good eno-o-ough6Embed"
New Music Friday_1,spotify:track:0yLdNVWF3Srea0uzk55zFn,Miley Cyrus,Flowers,200454,100,False,0.707,0.681,0,-4.325,1,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,4,"TranslationsEspañolPortuguêsKiswahiliDeutschItalianoСрпскиNederlandsSvenskaPolskiTürkçeΕλληνικάFlowers Lyrics[Verse 1]
We were good, we were gold
Kinda dream that can't be sold
We were right 'til we weren't
Built a home and watched it burn

[Pre-Chorus]
Mm, I didn't wanna leave you, I didn't wanna lie
Started to cry, but then remembered I

[Chorus]
I can buy myself flowers
Write my name in the sand
Talk to myself for hours
Say things you don't understand
I can take myself dancing
And I can hold my own hand
Yeah, I can love me better than you can

[Post-Chorus]
Can love me better, I can love me better, baby
Can love me better, I can love me better, baby

[Verse 2]
Paint my nails cherry-red
Match the roses that you left
No remorse, no regret
I forgive every word you said
You might also like[Pre-Chorus]
Ooh, I didn't wanna leave you, baby, I didn't wanna fight
Started to cry, but then remembered I

[Chorus]
I can buy myself flowers
Write my name in the sand
Talk to myself for hours, yeah
Say things you don't understand
I can take myself dancing, yeah
I can hold my own hand
Yeah, I can love me better than you can

[Post-Chorus]
Can love me better, I can love me better, baby
Can love me better, I can love me better, baby
Can love me better, I can love me better, baby
Can love me better, I (Ooh, I)

[Bridge]
I didn't wanna leave you, I didn't wanna fight
Started to cry, but then remembered I

[Chorus]
I can buy myself flowers (Uh-huh)
Write my name in the sand
Talk to myself for hours (Yeah)
Say things you don't understand (Better than you)
I can take myself dancing, yeah
I can hold my own hand
Yeah, I can love me better than
Yeah, I can love me better than you can
[Post-Chorus]
Can love me better, I can love me better, baby (Uh)
Can love me better, I can love me better, baby (Than you can)
Can love me better, I can love me better, baby
Can love me better, I32Embed"
New Music Friday_2,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,SZA,Kill Bill,153946,92,False,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,4,"TranslationsEspañolPortuguêsItalianoTürkçeDeutschNederlands日本語සිංහලKill Bill Lyrics[Verse 1]
I'm still a fan even though I was salty
Hate to see you with some other broad, know you happy
Hate to see you happy if I'm not the one drivin'

[Pre-Chorus]
I'm so mature, I'm so mature
I'm so mature, I got me a therapist to tell me there's other men
I don't want none, I just want you
If I can't have you, no one should, I might

[Chorus]
I might kill my ex, not the best idea
His new girlfriend's next, how'd I get here?
I might kill my ex, I still love him, though
Rather be in jail than alone

[Verse 2]
I get the sense that it's a lost cause
I get the sense that you might really love her
The text gon' be evidence, this text is evidence
I try to ration with you, no murders, no crime of passion
But, damn, you was out of reach
You was at the farmer's market with your perfect peach
Now I'm in amazement, playin' on my patience
Now you layin' face-down, got me singin' over a beat
See SZA LiveGet tickets as low as $109You might also like[Pre-Chorus]
I'm so mature, I'm so mature
I'm so mature, I got me a therapist to tell me there's other men
I don't want none, I just want you
If I can't have you, no one will, I (I might)

[Chorus]
I might kill my ex, not the best idea
His new girlfriend's next, how'd I get here?
I might kill my ex, I still love him, though
Rather be in jail than alone

[Bridge]
I did it all for love (Love)
I did it all on no drugs (Drugs)
I did all of this sober
I did it all for us, oh
I did it all for love (Love)
I did all of this on no drugs (Drugs)
I did all of this sober
Don't you know I did it all for us? (I'm gon' kill your ass tonight)

[Chorus]
Oh, I just killed my ex, not the best idea (Idea)
Killed his girlfriend next, how'd I get here?
I just killed my ex, I still love him, though (I do)
Rather be in hell than alone64Embed"
New Music Friday_3,spotify:track:5Z2MiIZ5I3jJvvmeWMLbOQ,RAYE,Escapism.,272373,89,True,0.538,0.742,2,-5.355,1,0.114,0.138,4.67e-05,0.0934,0.25,96.107,4,"TranslationsTürkçeEspañolPortuguêsEscapism. Lyrics[Intro: RAYE]
Sleazin' and teasin', I'm sittin' on him
All of my diamonds are drippin' on him
I met him at the bar, it was twelve or something
I ordered two more wines 'cause tonight, I want him

[Verse 1: RAYE]
A little context if you care to listen
I find myself in a shit position
The man that I love sat me down last night
And he told me that it's over, dumb decision
And I don't wanna feel how my heart is rippin'
In fact, I don't wanna feel, so I stick to sippin'
And I'm out on the town with a simple mission
In my little black dress and this shit is sittin'

[Pre-Chorus: RAYE]
Just a heart broke bitch, high heels six inch
In the back of the nightclub, sippin' champagne
I don't trust any of these bitches I'm with
In the back of the taxi sniffin' cocaine
Drunk calls, drunk texts, drunk tears, drunk sex
I was lookin' for a man who was on the same page
Now it's back to the intro, back to the bar
To the Bentley, to the hotel, to my old ways
You might also like[Chorus: RAYE]
'Cause I don't wanna feel how I did last night
I don't wanna feel how I did last night
Doctor, doctor, anything, please
Doctor, doctor, have mercy on me
Take this pain away
You're askin' me my symptoms, doctor, I don't wanna feel

[Verse 2: RAYE]
Toke this joint how I'm blowin' this steam
Back to my ways like 2019
Not twenty-four hours since my ex did dead it
I got a new man on me, it's about to get sweaty
Last night really was the cherry on the cake
Been some dark days lately and I'm findin' it cripplin'
Excuse my state, I'm as high as your hopes
That you'll make it to my bed, get me hot and sizzlin'
If I take a step back to see the glass half-full
At least it's the Prada two-piece that I'm trippin' in
And I'm already actin' like a dick, know what I mean?
So you might as well stick it in

[Pre-Chorus: RAYE]
Just a heart broke bitch, high heels six inch
In the back of the nightclub, sippin' champagne
I don't trust any of these bitches I'm with
In the back of the taxi sniffin' cocaine
Drunk calls, drunk texts, drunk tears, drunk sex
I was lookin' for a man who was on the same page
Now it's back to the intro, back to the bar
To the Bentley, to the hotel, to my old ways
[Chorus: RAYE & 070 Shake]
'Cause I don't wanna feel how I did last night
I don't wanna feel how I did last night
Doctor, doctor, anything, please
Doctor, doctor, have mercy on me
Take this pain away
You're askin' me my symptoms, doctor, I don't wanna feel, mm (What?)

[Verse 3: 070 Shake & RAYE]
'Cause I don't wanna feel like I felt last night
I don't wanna feel like I felt last night
Be at peace with the things you can't change (Last night)
I'll be naked when I leave and I was naked when I came, yeah
Out of reach, out of touch
Too numb, I don't feel no way
Toast up, so what?
Street small, but it go both ways
So, you'll run, yeah
But you'll never escape
Sunset in the maze
(You're askin' me my symptoms, doctor, I don't wanna feel)

[Chorus: RAYE]
I don't wanna feel how I did last night
I don't wanna feel how I did last night, oh
Doctor, doctor, anything, please
Doctor, doctor, have mercy on me
You're askin' me my symptoms, doctor, I don't wanna feel
[Bridge: 070 Shake]
I don't wanna feel how I did last night
I don't wanna feel how I did last night
I don't wanna feel how I did last night

[Outro: RAYE]
Mm, lipstick smudged like modern art
I don't know where the fuck I am or who's drivin' the fuckin' car
Speedin' down the highway, sippin'
Mixin' pills with the liquor 'cah fuck these feelings
I left everyone I love on read (Uh-huh)
Spilling secrets to the stranger in my bed (Uh-huh)
I remember nothing so there's nothing to regret (Uh-uh)
Other than this 4/4 kick drum poundin' in my head15Embed"
New Music Friday_4,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,Metro Boomin,Creepin' (with The Weeknd & 21 Savage),221520,93,True,0.715,0.62,1,-6.005,0,0.0484,0.417,0,0.0822,0.172,97.95,4,"New Music Friday 12/02/22 LyricsMetro Boomin - Creepin' (with The Weeknd & 21 Savage)
Lewis Capaldi - Pointless
Arcangel - La Jumpa
PinkPantheress - Boy's a liar
A$AP Rocky - Shittin' Me
Pheelz - Ballin
Villano Antillano - Kaleidoscópica
100 gecs - Torture Me (feat. Skrillex)
Latto - FTCU (feat. GloRilla & Gangsta Boo)
Morgan Wallen - One Thing At A Time
Jessie Murph - Drunk in the Bathtub
Nas - One Mic, One Gun
$uicideboy$ - My Swisher Sweet, But My Sig Sauer
RM - Still Life (with Anderson .Paak)
Quinn XCII - Let Me Down (with Chelsea Cutler)
Noah Cyrus - Set For Life
PNAU - You Know What I Need
Bad Gyal - Real G
Metallica - Lux Æterna
NEIL FRANCES - High🐚
Stephen Dawes - It Could Be Me
Parker McCollum - Stoned
MOUNT WESTMORE - Activated
Coi Leray - Players
Joy Oladokun - Power
James Arthur - Heartbeat
Katie Gregson-MacLeod - white lies
brakence - 5g
Snakehips - Solitude (with BIA & Lucky Daye)
Cruza - Fantasy
half•alive - Nobody
RINI - Pressure
SkyeChristy - I'm Not Like Alice
Lyn Lapid - Saturn
Jelly Roll - she
Loud Luxury - Afterparty
Finesse2tymes - Overdose
2Rare - Lil Mama
Precious Pepala - Voices
Julia Wolf - Gothic Babe Tendencies (feat. blackbear)
Felly - me and my gang
SASH - biscayne
Louis The Child - Amsterdam (Deep Inside) - Single Version🐚
ITZY - Cheshire
Olivia Knox - Smoke Signal🐚
Emotional Oranges - Let Me Go
Lil Peep - angeldust
Nippa - The One
Babyface Ray - Wonderful Wayne & Jackie Boy (feat. Lil Durk)
Justus Bennetts - Everything Is Nothing
Carlie Hanson - Pretender
Lainey Wilson - New Friends
Aya Nakamura - SMS
Powfu - shade of blue (feat. Rxseboy, Tia Tia & Shalfi)
OHGEESY - Gallery
Lil Mosey - Backpack
Yandel - Delincuente
Nakkia Gold - Past
Two Friends - Hate Me (feat. Billy Lockett)
Chloe George - Sunny D
Emei - Backtrack
Against The Current - blindfolded
Icewear Vezzo - One Time (feat. Jeezy)☑️
Saucy Santana - Bop Bop
Russ Millions - One of a Kind
Jordan Hawkins - Screamin'🐚
THEY. - Set Me Free
LU KALA - Pretty Girl Era
Circa Waves - Carry You Home
Wallice - Japan
Jonah Kagen - georgia
Peach Tree Rascals - I Need That🐚
Tenille Arts - Motel On the Moon
amy michelle - patience
Christian Kuria - Santorini
Yungeen Ace - Gang Nem (feat. EST Gee)☑️
Sheck Wes - PAIN!
Carl Cox - Deep Space X 🐚
RL Grime - Renegade
Hunter Daily - Skeleton Key
Alex Warren - Chasing Shadows
will hyde - 6am in amsterdam.
Baby Fisher - This is the End🐚
hey, nothing - Too Drunk to Drive☑️
lozeak - Cutthroat
moony - machines🐚
Ivan Cornejo - Ya Te Perdí
Aáyanna - Risky
David Dunn - Poison🐚
Rileyy Lanez - On Us
Laci Kaye Booth - Damn Good in a Dive Bar🐚
Ellise - Did It Hurt?
Ellye Lennon - Priority🐚
Blair Lee - Last Bite🐚
Day Wave - Cold Like Me
Daniel Allan - Minuteman (with DLG.)🐚
Kieran Ivy - Figured Out
Teenage Priest - Let It Pass🐚
Grabbitz - When You & Me Dance
Adeem the Artist - CarolinaEmbed"
New Music Friday_5,spotify:track:4nrPB8O7Y7wsOCJdgXkthe,Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",214945,96,False,0.778,0.632,2,-5.6,0,0.0493,0.274,0,0.0915,0.498,122.104,4,"TranslationsEnglishDeutschPortuguêsShakira: Bzrp Music Sessions, Vol. 53 Lyrics[Letra de ""Shakira: Bzrp Music Sessions, Vol. 53""]

[Intro: Shakira]
(Pa' tipos como tú, uh-uh-uh-uh)
Oh-oh (Oh-oh)
(Pa' tipos como tú, uh-uh-uh-uh)

[Verso 1: Shakira]
Perdón, ya cogí otro avión
Aquí no vuelvo, no quiero otra decepción
Tanto que te las das de campeón
Y cuando te necesitaba diste tu peor versión
Sorry, baby, hace rato
Que yo debí botar ese gato
Una loba como yo no está pa' novato'

[Coro: Shakira]
Una loba como yo no está pa' tipos como tú, uh-uh-uh-uh
Pa' tipos como tú, uh-uh-uh-uh
A ti te quedé grande y por eso estás con una igualita que tú, uh-uh-uh-uh
Oh-oh, oh-oh

[Verso 2: Shakira]
Esto es pa' que te mortifique', mastique' y trague', trague' y mastique'
Yo contigo ya no regreso, ni que me llores ni me supliquе'
Entendí que no es culpa mía quе te critiquen
Yo solo hago música, perdón que te salpique
Me dejaste de vecina a la suegra
Con la prensa en la puerta y la deuda en Hacienda
Te creíste que me heriste y me volviste más dura
Las mujeres ya no lloran, las mujeres facturan
You might also like[Pre-Coro: Shakira]
Tiene nombre de persona buena
Claramente no es como suena
Tiene nombre de persona buena
Claramente

[Coro: Shakira]
Es igualita que tú, uh-uh-uh-uh
Pa' tipos como tú, uh-uh-uh-uh
A ti te quedé grande y por eso estás con una igualita que tú, uh-uh-uh-uh
Oh-oh, oh-oh

[Verso 3: Shakira]
Del amor al odio hay un paso
Por acá no vuelva', hazme caso
Cero rencor, bebé, yo te deseo que te vaya bien con mi supuesto reemplazo
No sé ni qué es lo que te pasó
'Tás tan raro que ni te distingo
Yo valgo por dos de 22
Cambiaste un Ferrari por un Twingo
Cambiaste un Rolex por un Casio
Vas acelera'o, dale despacio
Ah, mucho gimnasio
Pero trabaja el cerebro un poquito también
Fotos por donde me ven
Aquí me siento un rehén, por mí todo bien
Yo te desocupo mañana y si quieres traértela a ella, que venga también
[Pre-Coro: Shakira]
Tiene nombre de persona buena (Uh-uh-uh-uh)
Claramente no es como suena (Uh-uh-uh-uh)
Tiene nombre de persona buena (Uh-uh-uh-uh)

[Coro: Shakira]
Y una loba como yo no está pa' tipos como tú, uh-uh-uh-uh
Pa' tipos como tú, uh-uh-uh-uh
A ti te quedé grande y por eso estás con una igualita que tú, uh-uh-uh-uh
Oh-oh, oh-oh

[Outro: Shakira]
Uh-uh-uh-uh (Pa' tipos, pa'-pa'-pa' tipos como—)
Pa' tipos como tú, uh-uh-uh-uh (Pa' tipos, pa'-pa'-pa' tipos como—)
A ti te quedé grande y por eso estás con una igualita que tú, uh-uh-uh-uh (It's a wrap)
Oh-oh, oh-oh
Ya está, chao6Embed"
New Music Friday_6,spotify:track:0WtM2NBVQNNJLh6scP13H8,Rema,Calm Down (with Selena Gomez),239317,91,False,0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,4,"New Music Friday 08/26/22 LyricsDJ Khaled - BEAUTIFUL (feat. Future & SZA)
Lil Tjay - Beat the Odds
Joji - YUKON (INTERLUDE)
Elton John - Hold Me Closer
Rema - Calm Down (with Selena Gomez)
Katie Gregson-MacLeod - complex (demo)
The National - Weird Goodbyes (feat. Bon Iver)
KAROL G - GATÃšBELA
David Guetta - I'm Good (Blue)
Offset - CODE (feat. Moneybagg Yo)
Quavo - Big Stunna (feat. Birdman)
Anitta - Practice (feat. A$AP Ferg & HARV)
NAV - Wrong Decisions
blackbear - dead inside
Ingrid Andress - Feel Like This
LANY - Congrats
JID - Bruddanem (feat. Lil Durk)
Lil Tecca - Treesha
CKay - you
anees - leave me
Madison Beer - Dangеrous
Noah Cyrus - Every Beginning Ends
Surfaces - It Only Takеs Two
Muse - You Make Me Feel Like It’s Halloween
Joey Bada$$ - Let It Breathe
Thee Sacred Souls - Future Lover
ROLE MODEL - cross your mind
Sasha Alex Sloan - As It Was - Spotify Singles
BNXN fka Buju - In My Mind
Cheat Codes - I Remember
Marcus Mumford - Better Off High
Matt Maeson - Cut Deep
Big Narstie - Groundwork
Bastille - Hope For The Future
JVKE - i can't help it
IVE - After LIKE
DDG - If I Want You
SleazyWorld Go - India Me
Tai Verdes - how deep?
Julia Jacklin - Be Careful With Yourself
Rina Sawayama - Phantom
RAYE - Black Mascara
Kaleena Zanders - ME WITHOUT U
Laufey - Beautiful Stranger
Ashe - Emotional
GAYLE - god has a sense of humor
Marcus King - It's Too Late
Djo - Figure You Out
Tom The Mail Man - •Outside•
CORPSE - MISA MISA!
JELEEL! - STONE COLD!
22Gz - Why Would I Lack? (feat. SPMB Bills)
Ray Vaughn - Dawg House
Spice - TAPE MEASURE
Kornél Kovács & Aluna - Follow You
Blake Rose - Magazine
HARDY - wait in the truck (feat. Lainey Wilson)
Kevin Kaarl - siente mÃ¡s
Kevin Gates - Major League
Dro Kenji - KILL EM FOR ME (feat. KA$HDAMI)
Bob Moses - Afterglow
Hope Tala - Leave It On The Dancefloor
Reik - 5 Estrellas
MorMor - Seasons Change
Savannah Ré - Closure
Ayron Jones - ""Filthy""
Kameron Marlowe - Over Now
Danielle Ponder - Only The Lonely
IDK - Free Slime
Real Boston Richey - I Want You
MASN - High School
L.S. Dunes - Permanent Rebellion
Isabel LaRosa - HEARTBEAT
Zevia - why am i alive
Alexa Cappelli - Temporary
Magdalena Bay - All You Do
Autumn! - Jay N Bey!
Meechy Darko - Lost Souls
Fredo Bang - Addy
Skip Marley - Jane
Britton - EAGER
Miya Folick - Bad Thing
Barny Fletcher - Backstroke
Curtis Waters - STAR KILLER
Games We Play - Get A Job
Koe Wetzel - Creeps
Mickey Guyton - Somethin' Bout You
Wild Pink - Hold My Hand
Lakeyah - Real Bitch (feat. Gloss Up)
CNCO - Miami
TWICE - Talk that Talk
Lolahol - Lock&Key
Lorelei Marcell - ANTISOCIAL
James Vickery - The Reason
Seaforth - Dr. Phil
Rend Collective - Hallelujah Anyway
Francis Karel - Handle with Care
Swansea Skag - DOG BOY
Gera MX – Papá
nickname jos - LETTERMAN
Mayfly - Pretty EndingEmbed"
New Music Friday_7,spotify:track:4LRPiXqCikLlN15c3yImP7,Harry Styles,As It Was,167303,89,False,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,4,"TranslationsTürkçeEspañolPortuguês日本語ItalianoΕλληνικάDeutschFrançaisEnglishEnglishNederlandsShqipPolskiAs It Was Lyrics[Intro]
Come on, Harry, we wanna say goodnight to you

[Verse 1]
Holdin' me back
Gravity's holdin' me back
I want you to hold out the palm of your hand
Why don't we leave it at that?
Nothin' to say
When everything gets in the way
Seems you cannot be replaced
And I'm the one who will stay, oh-oh-oh

[Chorus]
In this world, it's just us
You know it's not the same as it was
In this world, it's just us
You know it's not the same as it was
As it was, as it was
You know it's not the same

[Verse 2]
Answer the phone
""Harry, you're no good alone
Why are you sitting at home on the floor?
What kind of pills are you on?""
Ringin' the bell
And nobody's coming to help
Your daddy lives by himself
He just wants to know that you're well, oh-oh-oh
See Harry Styles LiveGet tickets as low as $55You might also like[Chorus]
In this world, it's just us
You know it's not the same as it was
In this world, it's just us
You know it's not the same as it was
As it was, as it was
You know it's not the same

[Bridge]
Go home, get ahead, light-speed internet
I don't wanna talk about the way that it was
Leave America, two kids follow her
I don't wanna talk about who's doin' it first

[Outro]
(Hey)
As it was
You know it's not the same as it was
As it was, as it was184Embed"
New Music Friday_8,spotify:track:1xzi1Jcr7mEi9K2RfzLOqS,Beyoncé,CUFF IT,225388,88,True,0.78,0.689,7,-5.668,1,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,4,"TranslationsBeyoncé - CUFF IT (Türkçe Çeviri)*EspañolPortuguêsहिन्दीFrançaisCUFF IT Lyrics[Verse 1]
I feel like fallin' in love (Fallin’ in love)
I'm in the mood to fuck somethin' up (Tonight, I’m fuckin' somethin' up, baby)
I need some drink in my cup (I need a drink), hey (Pour me a drink)
I'm in the mood to fuck somethin' up (I'm in the mood to fuck somethin' up)

[Pre-Chorus]
I wanna go missin', I need a prescription
I wanna go higher, can I sit on top of you? (Oh-la-la-la-la-la-la-la)
I wanna go where nobody’s been (I wanna go where nobody’s been)
Have you ever had fun like this? Oh, woah (Have you ever had fun? Yeah)

[Chorus]
We gon' fuck up the night, black lights
Spaceships fly, yeah (Spaceships fly)
Unapologetic when we fuck up the night, fuck up the night
We gettin’ fucked up tonight
We gon' fuck up the night

[Post-Chorus]
Bet you you'll see far
Bet you you'll see stars
Bet you you’ll elevate
Bet you you'll meet God
'Cause I feel like fallin' in love
I'm in the mood to fuck somethin' up
'Cause we gon' fuck up the night
You might also like[Verse 2]
What's in these four walls? You sexy, my love (Turn it up)
Don't miss this roll call, is you here or what? Yeah (Roll it up)
Show up, show up (Show up, show up), po' up, po' up, oh (Po' up, po' up)
You Mr. Nasty, I'll clean it up

[Pre-Chorus]
Go where nobody's been (Go where nobody's been)
Have you ever had fun like this? (Have you ever had fun? Yeah)
I wanna go missin', I need a prescription
I wanna go higher, can I sit on top of you?

[Chorus]
We gon' fuck up the night (Funk it up, funk it up), black lights
Spaceships fly, yeah (Spaceships fly)
Unapologetic when we fuck up the night (Funk it up, funk it up), fuck up tonight
We gettin' fucked up tonight
We gon' fuck up the night

[Post-Chorus]
Bet you you'll see far
Bet you you'll see stars
Bet you you'll elevate
Bet you you'll meet God
'Cause I feel like fallin' in love
I'm in the mood to fuck somethin' up
We gon' fuck up the night
[Verse 3]
Hypersonic, sex erotic
On my body, boy, you got it
Hit them 'draulics while I ride it
Got me actin' hella thotty
So excited, so exotic
I'm a seasoned professional
Squeeze it, don't let it go
Tease it, no self-control
I got time today (I got time today, I got time)
Oh, I (I got time today, I got time)
I can't wait to come out and play
Ooh, yeah, you
Come and cuff it, cuff it, cuff it, cuff it, baby
While I buss it, buss it, buss it for you, baby
Oh, baby
Anywhere, anytime
I don't mind, I don't mind

[Bridge]
Yeah (I don't mind)
For you (All for you)
I'm backin' the truck up, huh (Back that truck up)
For you (All for you, for you)
A bitch'll get fucked up, huh (I fuck you up)
For you (All for you)
I'm puttin' my cup up, huh (Put my cup up, yeah)
For you (All for you, you)
[Outro]
'Cause we gon' fuck up the night
Take flight (Woo), blindin' lights (Yeah)
Fuck it up, fuck it up, fuck it up
(Unapologetic when we fuck up the night)
Bet you you'll see stars (Night)
Bet you you'll go far (Night)
Bet you you'll levitate (Night)
Bet you you'll meet God (Party people, roll up)
Ooh (Yeah, huh)
We gon' fuck up the night (Yeah)
Spaceships fly
Fuck it up, fuck it up13Embed"
New Music Friday_9,spotify:track:3nqQXoyQOWXiESFLlDF1hG,Sam Smith,Unholy (feat. Kim Petras),156943,92,False,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,4,"New Music Friday 09/23/22 LyricsSam Smith - Unholy (feat. Kim Petras)
Lil Nas X - STAR WALKIN' (League of Legends Worlds Anthem)
Lewis Capaldi - drivers license - Spotify Singles
Kelsea Ballerini - MUSCLE MEMORY
CKay - mmadu
GloRilla & Cardi B - Tomorrow 2
Maya Hawke - Luna Moth
Khalid - Satellite
DaBaby - SOCKS☑️
Muni Long - Plot Twist
Moneybagg Yo - Blow
Q - Stereo Driver
Yung Gravy, bbno$ & Rich Brian - C'est La Vie
Stormzy - Mel Made Me Do It
Freddie Gibbs - Dark Hearted
Fred again.. - Bleu (better with time)☑️
The 1975 - All I Need To Hear
Wet Leg - Daisy - Spotify Singles
Kid Cudi & Ty Dolla $ign - Willing To Trust
FLO - Not My Job
5 Seconds of Summеr - Bad Omens
Quinn XCII – Common (feat. Big Sean)
iann dior - saddеst soundtrack
SG Lewis - Vibe Like This (feat. Ty Dolla $ign & Lucky Daye)
SiR - Nothing Even Matters
GIVĒON – Time
Joy Oladokun - Sweet Symphony (with Chris Stapleton)
JVKE - this is what sadness feels like
Polimá WestCoast & J Balvin - KAWAII
Jamie xx - KILL DEM🐚
YG - Maniac
Major Lazer, Major League Djz, & DJ Maphorisa - Koo Koo Fun (feat. Tiwa Savage)
Rauw Alejandro & Baby Rasta - PUNTO 40
Channel Tres - No Limit☑️
Alex G - Immunity
Ashe - Love Is Letting Go (feat. Diane Keaton)
Joshua Bassett - Lifeline
JP Saxe - When You Think Of Me
Shania Twain - Waking Up Dreaming
Maddie & Tae - Watching Love Leave
Protoje - Ten Cane Row
Lakeyah - Maneuver (feat. Flo Milli)
Gucci Mane, BiC Fizzle & BigWalkDog - Red Flag
Red Hot Chili Peppers - Eddie
Charlotte Lawrence - Morning
Mike Posner - I'm Not Dead Yet
Baby Tate - Ain’t No Love (feat. 2 Chainz) ☑️
Kordhell & Scarlxrd - MISS ME?
Kito - Sad Girl Music (feat. BANKS)
D-Block Europe - Lonely Lovers☑️
Tom The Mail Man - •YOU’RE THE ONE I LIKE NOW•
The Smashing Pumpkins - Beguiled
Emotional Oranges - Cardigan
Carin Leon - Si Es Cierto Que Te Vas🐚
Christian Leave - Why Not? 🐚
BLACKSTARKIDS - DIGITAL WORLD 🐚
Izzi De-Rosa - love u in the morning
Shallou - Save Some Room 🐚
MEDUZA - Under Pressure 🐚
Toosii - Heartaches
LUCKI - KAPITOL DENIM
Crush - Rush Hour (Feat. j-hope of BTS)
Jnr Choi - TICK TOCK
Savannah Ré - WTF☑️
Zoe Wees - Daddy's Eyes
Zolita - 20 Questions
Nate Smith - I Found You
Milky Chance - Troubled Man
Weezer - What Happens After You?
JELEEL! - DELIVER!
DreamDoll - Fantasy 🐚
Kailee Morgue - Queen Bitch
Monét Ngo - Bleachers 🐚
Alvvays - Belinda Says
TOLEDO - How It Ends 🐚
Yellow Days - Inner Peace 🐚
Nikki Lane - Denim & Diamonds 🐚
Elaine - Deja Vu
Kany García & Christian Nodal- La Siguiente
Aya Nakamura - VIP
Ofenbach - Love Me Now 🐚 (feat. FAST BOY)
Sam Tompkins - Lose It All
PIAO - Haunted by Potential 🐚
Allie Paige - i feel like flying☑️
Greyson Chance - My Dying Spirit
SLANDER - Nothing Hurts Like Goodbye (Feat. Kiiara)
Cam’Ron & A-Trak - What You Do 🐚
Fabolous & Dave East - BACH TO BACH
Kendell Marvel - Come on Sunshine 🐚
Gunnar Gehl - Cinnamon 🐚
Magdalena Bay - Unconditional
Vieux Farka Touré & Khruangbin - Diarabi 🐚
Izzy Spears - BAD NEWS 🐚
NMIXX - DICE
TSHA - Running 🐚
Tamino - Sunflower
re6ce - teeth (you)
Ocean x KungFu - M.A.B 🐚
Bellah - Garden 🐚
Georgia Webster - X's 🐚Embed"
